,coefficient
Out-of-pocket expenditure (% of current health expenditure),-2.3776074727612904
"GDP per capita, PPP (current international $)",-1.873202231793902
Employment in agriculture (% of total employment) (modeled ILO estimate),-1.3562866648792427
"Labor force, female (% of total labor force)",1.1144200756557965
"Current health expenditure per capita, PPP (current international $)",1.1040357689680935
Domestic general government health expenditure (% of current health expenditure),-1.0355807997522997
GDP per capita (current US$),1.0091656056270182
"Services, value added (% of GDP)",-0.8939108025719854
"Industry (including construction), value added (% of GDP)",-0.7598276274812074
Individuals using the Internet (% of population),-0.7096209616113566
"Out-of-pocket expenditure per capita, PPP (current international $)",0.7092355140510048
"Domestic private health expenditure per capita, PPP (current international $)",-0.6755601222236468
Population ages 0-14 (% of total population),0.6523177468851152
GDP (current US$),-0.6482510249891663
Political Stability and Absence of Violence/Terrorism: Estimate,0.6187873296204703
"Employment to population ratio, 15+, total (%) (national estimate)",-0.5148840628629248
"Labor force, total",0.5112889024306388
Expense (% of GDP),-0.48521077001851315
Rule of Law: Estimate,-0.4392987647819601
Urban population (% of total population),0.43658503419988903
"Government expenditure on education, total (% of government expenditure)",0.4106648022647077
Domestic credit to private sector (% of GDP),-0.40909081444980466
Domestic general government health expenditure (% of general government expenditure),-0.40388176353799926
Gross savings (% of GNI),0.3995259906973529
External health expenditure (% of current health expenditure),-0.39411504862773666
General government final consumption expenditure (% of GDP),0.386914536003416
"Armed forces personnel, total",0.3566533583955691
Population ages 65 and above (% of total population),-0.33801275788653035
Population density (people per sq. km of land area),-0.3284513248337558
Employment in industry (% of total employment) (modeled ILO estimate),-0.3127301892173549
"Manufacturing, value added (% of GDP)",0.30805554295223825
"Personal remittances, received (current US$)",0.296435157354359
"Agriculture, forestry, and fishing, value added (current US$)",-0.28768275091194606
"School enrollment, secondary (% gross)",0.27974565114137623
Public and publicly guaranteed debt service (% of GNI),-0.2481412802381876
Compensation of employees (% of expense),-0.2395884823307111
Armed forces personnel (% of total labor force),-0.2112165476768456
"Net bilateral aid flows from DAC donors, Total (current US$)",0.19729685259364585
"External health expenditure per capita, PPP (current international $)",0.19456959699852883
"School enrollment, tertiary (% gross)",-0.18900980523844943
"Population, female (% of total population)",0.1792943919764417
Current health expenditure (% of GDP),0.17885230544436054
Population growth (annual %),-0.17879939864887523
"Agriculture, forestry, and fishing, value added (% of GDP)",0.1527550515999772
Income share held by lowest 20%,-0.1384241386806616
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.13830077836596377
"Government expenditure on education, total (% of GDP)",-0.1337701315375008
Access to electricity (% of population),0.12922231769725062
"Unemployment, total (% of total labor force) (national estimate)",-0.12061701097948284
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-0.1123257776032081
Voice and Accountability: Estimate,-0.11046230579451988
Fixed broadband subscriptions (per 100 people),-0.09949902609652195
CPIA macroeconomic management rating (1=low to 6=high),-0.09500251776838
Goods and services expense (% of expense),0.07734336942182986
Income share held by highest 10%,-0.07176696154471492
Final consumption expenditure (% of GDP),0.0716942034940264
"School enrollment, primary (% gross)",-0.06881397304018959
"Compulsory education, duration (years)",0.06863714721671961
"Personal remittances, received (% of GDP)",0.06512760505193298
Proportion of seats held by women in national parliaments (%),-0.058730828200500594
GNI growth (annual %),-0.046612440199330696
"Inflation, consumer prices (annual %)",0.0464981199290356
Adjusted net national income per capita (annual % growth),-0.04045750584503779
"Human capital index (HCI), upper bound (scale 0-1)",-0.03646549802509039
CPIA fiscal policy rating (1=low to 6=high),-0.032177085307914285
Fixed telephone subscriptions (per 100 people),0.0288186466530521
"Net intake rate in grade 1, female (% of official school-age population)",-0.020413882850494103
"Literacy rate, adult male (% of males ages 15 and above)",0.015834770068745726
Gross savings (% of GDP),-0.013263797549462202
Gross capital formation (% of GDP),-0.009984124582096483
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.00673930817187478
