,coefficient
"Agriculture, forestry, and fishing, value added (% of GDP)",2.3978915020197453
"Domestic private health expenditure per capita, PPP (current international $)",1.2948349763617832
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-1.133771570651739
"Labor force, female (% of total labor force)",1.078103254515939
Current health expenditure (% of GDP),-1.0744845624495727
Domestic general government health expenditure (% of current health expenditure),-0.9967115905109353
GDP per capita (current US$),-0.9921334813349676
"Personal remittances, received (% of GDP)",-0.8836216876283918
Population ages 0-14 (% of total population),0.8766708089872173
General government final consumption expenditure (% of GDP),0.8165246208726998
"Out-of-pocket expenditure per capita, PPP (current international $)",-0.804628741110391
Employment in agriculture (% of total employment) (modeled ILO estimate),-0.6702595364076582
Final consumption expenditure (% of GDP),0.6422432274118968
Employment in industry (% of total employment) (modeled ILO estimate),0.6229967565621566
GDP (current US$),0.5944685022645811
"Labor force, total",-0.5553661278339853
"Industry (including construction), value added (% of GDP)",0.5504106343402664
"Agriculture, forestry, and fishing, value added (current US$)",-0.5489462536337787
Domestic general government health expenditure (% of general government expenditure),0.5471024562959215
"Services, value added (% of GDP)",0.5342742868215109
Domestic general government health expenditure (% of GDP),0.5319745821517541
"Unemployment, total (% of total labor force) (national estimate)",-0.5016899313916424
Fixed broadband subscriptions (per 100 people),0.4960641213663051
Gross savings (% of GDP),0.4592978070171804
Population density (people per sq. km of land area),-0.44796139523021444
Gross capital formation (% of GDP),-0.3748612948856638
Expense (% of GDP),0.36281427487732915
Out-of-pocket expenditure (% of current health expenditure),-0.32668574005815876
"Compulsory education, duration (years)",-0.3256735738496873
"Current health expenditure per capita, PPP (current international $)",0.27930237543568737
"School enrollment, primary (% gross)",-0.27786005442433376
Compensation of employees (% of expense),-0.274465554269147
Public and publicly guaranteed debt service (% of GNI),-0.26434589986856094
"Manufacturing, value added (% of GDP)",0.2560730470035422
"School enrollment, secondary (% gross)",-0.25223041240405103
Voice and Accountability: Estimate,0.250494284989425
"School enrollment, tertiary (% gross)",-0.23665332516873228
Armed forces personnel (% of total labor force),0.2265263550053619
Gross savings (% of GNI),0.2246078561987415
CPIA fiscal policy rating (1=low to 6=high),0.2003496430288559
Population growth (annual %),-0.1918774976922064
CPIA macroeconomic management rating (1=low to 6=high),-0.18991400792470126
Access to electricity (% of population),0.17279332455475843
"Net intake rate in grade 1, female (% of official school-age population)",0.15761558701175504
"External health expenditure per capita, PPP (current international $)",0.15243285869373696
Individuals using the Internet (% of population),0.145275733232543
"Employment to population ratio, 15+, total (%) (national estimate)",0.14459871136870123
Population ages 15-64 (% of total population),-0.13421222470828328
"Personal remittances, received (current US$)",0.11919776695471307
"Net bilateral aid flows from DAC donors, Total (current US$)",-0.11601502798045361
Urban population (% of total population),0.11576902022433946
"Government expenditure on education, total (% of government expenditure)",-0.1087808632899591
Goods and services expense (% of expense),0.0726688530481526
Fixed telephone subscriptions (per 100 people),-0.06450007352540509
GDP per capita growth (annual %),0.052718164111720346
Adjusted net national income per capita (annual % growth),0.05217485091019441
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",-0.05215396170250986
Political Stability and Absence of Violence/Terrorism: Estimate,-0.03935268191905714
"Population, female (% of total population)",0.02855263176823217
"Inflation, consumer prices (annual %)",0.02750053763131389
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.022645409638761733
Income share held by lowest 20%,0.01565934624280719
Domestic credit to private sector (% of GDP),-0.015557547292477669
"Government expenditure on education, total (% of GDP)",-0.015556609847950978
"Armed forces personnel, total",-0.00892617778022036
Proportion of seats held by women in national parliaments (%),-0.006881173924508247
"Human capital index (HCI), upper bound (scale 0-1)",-0.003929964128114152
"Literacy rate, adult male (% of males ages 15 and above)",-0.00066945391968907
