,coefficient
Access to electricity (% of population),-0.8796472237015039
Final consumption expenditure (% of GDP),-0.6775729886738188
Urban population (% of total population),0.631560245112403
CPIA fiscal policy rating (1=low to 6=high),-0.5565898135770472
Employment in agriculture (% of total employment) (modeled ILO estimate),0.5538055044702848
"Population, female (% of total population)",-0.5095962343033573
Current health expenditure (% of GDP),-0.45545391181805284
"Agriculture, forestry, and fishing, value added (% of GDP)",-0.36755932064926383
"Industry (including construction), value added (% of GDP)",-0.3262120702964822
GDP per capita (current US$),-0.31971714137601853
Rule of Law: Estimate,-0.3082780262419124
External health expenditure (% of current health expenditure),0.3023435057204806
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.2672348527012295
Population ages 15-64 (% of total population),-0.26629291768293145
Individuals using the Internet (% of population),-0.2635444592521327
Voice and Accountability: Estimate,0.2520563017596785
Population density (people per sq. km of land area),0.25152504643303925
"Current health expenditure per capita, PPP (current international $)",0.22930653180432903
"Labor force, total",0.22903999276650888
"Armed forces personnel, total",-0.2199087781309745
"Government expenditure on education, total (% of government expenditure)",0.21639544727263538
CPIA macroeconomic management rating (1=low to 6=high),0.20494266504753825
Population ages 65 and above (% of total population),0.20108733418558597
"External health expenditure per capita, PPP (current international $)",-0.1981433966591939
Income share held by lowest 20%,-0.19244109087189282
Fixed broadband subscriptions (per 100 people),-0.19150861696779847
Armed forces personnel (% of total labor force),0.18774382718661023
Domestic general government health expenditure (% of general government expenditure),0.18121607443975238
Compensation of employees (% of expense),0.16602213322699572
Political Stability and Absence of Violence/Terrorism: Estimate,-0.15022498436477727
Employment in industry (% of total employment) (modeled ILO estimate),0.13421314426427855
Gross capital formation (% of GDP),-0.1254580928390458
"Agriculture, forestry, and fishing, value added (current US$)",0.11733126262857053
Domestic general government health expenditure (% of current health expenditure),-0.11632945562573926
"Personal remittances, received (current US$)",0.10698501582892564
"Domestic private health expenditure per capita, PPP (current international $)",0.0996771343938263
Fixed telephone subscriptions (per 100 people),0.09923696370158827
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",-0.0966081340595332
"School enrollment, primary (% gross)",-0.08321155155950005
Domestic credit to private sector (% of GDP),0.08251936711496763
General government final consumption expenditure (% of GDP),0.07975009067062633
Proportion of seats held by women in national parliaments (%),0.07628724896167406
"Government expenditure on education, total (% of GDP)",0.0654209173424036
"Literacy rate, adult male (% of males ages 15 and above)",-0.062399275858093024
"Net intake rate in grade 1, female (% of official school-age population)",0.05988415751095104
"School enrollment, tertiary (% gross)",-0.058357538595695216
"Inflation, consumer prices (annual %)",-0.05650607508204961
Goods and services expense (% of expense),0.045594314660231054
"Unemployment, total (% of total labor force) (national estimate)",-0.043748238511719044
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-0.03193357021197237
Out-of-pocket expenditure (% of current health expenditure),0.027776826838270454
Gross savings (% of GNI),0.02639521404494014
Adjusted net national income per capita (annual % growth),-0.024613263061558123
Income share held by highest 10%,0.022725765566496164
"Human capital index (HCI), upper bound (scale 0-1)",-0.022072637659205557
"Labor force, female (% of total labor force)",0.021391036395931578
"School enrollment, secondary (% gross)",0.014630993232621618
"Compulsory education, duration (years)",-0.01364788421294437
Population growth (annual %),-0.007406969053320061
"Employment to population ratio, 15+, total (%) (national estimate)",0.00518605631333157
Public and publicly guaranteed debt service (% of GNI),-0.004819280428722638
"Manufacturing, value added (% of GDP)",0.004182656214862948
GNI growth (annual %),-0.003838698475556095
