,coefficient
Armed forces personnel (% of total labor force),-0.2909785925578742
Urban population (% of total population),0.28566056912569926
"Agriculture, forestry, and fishing, value added (% of GDP)",-0.1557152640575019
Domestic general government health expenditure (% of general government expenditure),0.0697234282321759
Population growth (annual %),-0.0647353592040868
"Government expenditure on education, total (% of GDP)",-0.04908399165200389
"Employment to population ratio, 15+, total (%) (national estimate)",-0.018662163258164045
Compensation of employees (% of expense),0.014204807014011254
"Inflation, consumer prices (annual %)",-0.00857120027682111
Gross capital formation (% of GDP),-0.007026608463788001
