,coefficient
"Labor force, total",3.809271260218391
Population ages 15-64 (% of total population),2.6930866722929716
Population density (people per sq. km of land area),-2.4201947622796065
Urban population (% of total population),-1.4534515324016795
Population ages 65 and above (% of total population),-0.9683025745357073
"Agriculture, forestry, and fishing, value added (% of GDP)",0.9083909257729502
"Labor force, female (% of total labor force)",0.7816126122900315
GDP (current US$),-0.7596864428316629
"Manufacturing, value added (% of GDP)",0.6417620714789407
"GDP per capita, PPP (current international $)",-0.6022616381327522
Employment in industry (% of total employment) (modeled ILO estimate),0.5505893833740348
"Personal remittances, received (current US$)",-0.5218406399256864
Fixed broadband subscriptions (per 100 people),0.5213263928898769
Individuals using the Internet (% of population),-0.4660986607704574
General government final consumption expenditure (% of GDP),-0.42471145111458103
Proportion of seats held by women in national parliaments (%),0.3425598578136425
"Population, female (% of total population)",-0.33907087186761065
Final consumption expenditure (% of GDP),-0.328104919590679
Employment in agriculture (% of total employment) (modeled ILO estimate),-0.28502698720775366
External health expenditure (% of current health expenditure),-0.2714057164984699
Domestic general government health expenditure (% of general government expenditure),0.2538624783286158
Compensation of employees (% of expense),-0.24958613045591593
CPIA macroeconomic management rating (1=low to 6=high),0.22129012524263747
Gross savings (% of GDP),-0.21465288287823803
Domestic general government health expenditure (% of GDP),0.20825989867057476
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.18485676016081998
Domestic general government health expenditure (% of current health expenditure),-0.1828918643871894
"School enrollment, primary (% gross)",0.1651326314614642
"Agriculture, forestry, and fishing, value added (current US$)",-0.1444890188472308
Population growth (annual %),0.14437972481459097
"Personal remittances, received (% of GDP)",0.1431454277329255
Access to electricity (% of population),-0.13062944134847546
"Services, value added (% of GDP)",0.1248961666095275
Gross capital formation (% of GDP),-0.1197411636593377
"School enrollment, tertiary (% gross)",0.1192363533599668
Fixed telephone subscriptions (per 100 people),0.1171952469647146
"School enrollment, secondary (% gross)",-0.11687874819238521
Voice and Accountability: Estimate,-0.11186127389903278
"Compulsory education, duration (years)",0.10266954435780137
Rule of Law: Estimate,0.10096308396300081
CPIA fiscal policy rating (1=low to 6=high),0.09489222794089604
Domestic credit to private sector (% of GDP),-0.08473246636496211
"Out-of-pocket expenditure per capita, PPP (current international $)",-0.08456809129769141
GDP per capita growth (annual %),0.08422436185731902
Goods and services expense (% of expense),0.06725760124653798
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",-0.06097211694046606
Income share held by lowest 20%,-0.05788227385084604
"Government expenditure on education, total (% of government expenditure)",0.054176546835460075
Public and publicly guaranteed debt service (% of GNI),0.05413244628730301
"External health expenditure per capita, PPP (current international $)",-0.04782562453369131
"Net intake rate in grade 1, female (% of official school-age population)",0.044296191428729995
Expense (% of GDP),-0.04246561708503629
"Unemployment, total (% of total labor force) (national estimate)",0.03913977036724553
Income share held by highest 10%,-0.03413162432958337
"Government expenditure on education, total (% of GDP)",0.03303745560732972
GNI growth (annual %),-0.03217703756013607
Adjusted net national income per capita (annual % growth),0.02814999324166376
"Human capital index (HCI), upper bound (scale 0-1)",-0.02282644840634031
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.005654519137601129
"Inflation, consumer prices (annual %)",0.0031083213466077592
"Employment to population ratio, 15+, total (%) (national estimate)",-0.001323691789185918
"Domestic private health expenditure per capita, PPP (current international $)",-0.001278519649881242
"Literacy rate, adult male (% of males ages 15 and above)",-0.00011096624104033486
