,coefficient
Employment in industry (% of total employment) (modeled ILO estimate),1.2715293442564224
"Population, female (% of total population)",1.1615318146225067
Employment in agriculture (% of total employment) (modeled ILO estimate),1.1011746760815888
Final consumption expenditure (% of GDP),1.094400429026862
GDP (current US$),0.8427528927933824
"GDP per capita, PPP (current international $)",0.7880621228793109
Voice and Accountability: Estimate,-0.751823500140183
"Agriculture, forestry, and fishing, value added (current US$)",-0.7171896312358655
Population ages 15-64 (% of total population),0.6560608767331196
"Industry (including construction), value added (% of GDP)",0.5668031176727423
"Domestic private health expenditure per capita, PPP (current international $)",-0.499275052934317
Urban population (% of total population),-0.4982941165618634
Domestic general government health expenditure (% of GDP),0.4945260604484765
Gross savings (% of GNI),0.48115637588308635
Rule of Law: Estimate,-0.4756643431371602
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.4707272407182662
"Personal remittances, received (% of GDP)",0.45664730846240403
Proportion of seats held by women in national parliaments (%),-0.3873407224165447
Current health expenditure (% of GDP),0.3731071717836945
CPIA macroeconomic management rating (1=low to 6=high),0.36080958255530876
Domestic general government health expenditure (% of current health expenditure),-0.3579312658165374
"Out-of-pocket expenditure per capita, PPP (current international $)",-0.34518934379837934
"Labor force, total",-0.3437695623929621
"Government expenditure on education, total (% of government expenditure)",0.3236666167148399
Domestic general government health expenditure (% of general government expenditure),-0.32076160533060827
Access to electricity (% of population),0.3077673648187297
General government final consumption expenditure (% of GDP),0.25408168541510345
"School enrollment, primary (% gross)",-0.24267208008702984
Population density (people per sq. km of land area),-0.20976911303680268
Fixed telephone subscriptions (per 100 people),-0.20478533326895554
Gross capital formation (% of GDP),-0.1926596501870853
"Manufacturing, value added (% of GDP)",-0.18514972326904688
Fixed broadband subscriptions (per 100 people),0.17020207722434177
"Agriculture, forestry, and fishing, value added (% of GDP)",-0.16900765832059775
Armed forces personnel (% of total labor force),-0.15498877889503446
Compensation of employees (% of expense),0.14547629047108418
"School enrollment, secondary (% gross)",0.132068928835801
"Government expenditure on education, total (% of GDP)",-0.1260909988158357
"External health expenditure per capita, PPP (current international $)",0.1043921740952335
"Human capital index (HCI), upper bound (scale 0-1)",-0.10431362796736635
"Net intake rate in grade 1, female (% of official school-age population)",0.09827712244977166
"Personal remittances, received (current US$)",0.09221253622965106
CPIA fiscal policy rating (1=low to 6=high),-0.09086556859470889
External health expenditure (% of current health expenditure),-0.08394717369225427
Individuals using the Internet (% of population),0.069376094028193
GDP per capita growth (annual %),0.0686778712913417
"Net bilateral aid flows from DAC donors, Total (current US$)",-0.06047271714794326
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",-0.038607549308926986
Goods and services expense (% of expense),0.03451481749461631
"School enrollment, tertiary (% gross)",-0.025919031546846966
Adjusted net national income per capita (annual % growth),0.011865786485368844
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-0.010030041165383329
Public and publicly guaranteed debt service (% of GNI),0.008861804902845324
"Services, value added (% of GDP)",0.005152488986969877
"Inflation, consumer prices (annual %)",0.004887388169227237
Income share held by lowest 20%,0.0024018351970458507
"Literacy rate, adult male (% of males ages 15 and above)",-0.0017305895434373867
