,coefficient
"Agriculture, forestry, and fishing, value added (% of GDP)",8.854827057732003
"Labor force, total",8.289962431903442
Domestic general government health expenditure (% of GDP),7.464638854801262
Current health expenditure (% of GDP),-6.945676804888514
"Agriculture, forestry, and fishing, value added (current US$)",-5.729747665837218
"GDP per capita, PPP (current international $)",-5.301261147312794
Final consumption expenditure (% of GDP),-5.0476408612383
"Labor force, female (% of total labor force)",4.416475833871765
Domestic general government health expenditure (% of current health expenditure),-4.296396493531642
Population ages 15-64 (% of total population),3.3671865739427878
GDP per capita (current US$),3.22404210558871
Individuals using the Internet (% of population),-3.180405311330099
"Population, female (% of total population)",2.8992791337583648
Access to electricity (% of population),2.8417832933079863
Voice and Accountability: Estimate,-2.3944965166020733
"Compulsory education, duration (years)",-2.233606521465466
Urban population (% of total population),2.19295629291401
Population density (people per sq. km of land area),-2.1578275258935538
"Government expenditure on education, total (% of government expenditure)",2.1340149306551175
Domestic credit to private sector (% of GDP),-2.0444536896987184
Fixed broadband subscriptions (per 100 people),1.9842052639044967
"Manufacturing, value added (% of GDP)",1.9663995006956645
"Personal remittances, received (% of GDP)",1.845182917104541
Employment in industry (% of total employment) (modeled ILO estimate),1.7590448757700083
Expense (% of GDP),1.6453588539588007
"Services, value added (% of GDP)",1.639679295432357
External health expenditure (% of current health expenditure),-1.6084943212398148
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1.5845980064328142
Armed forces personnel (% of total labor force),-1.5771966733025382
General government final consumption expenditure (% of GDP),1.502409697015004
Compensation of employees (% of expense),-1.4739421560041293
Fixed telephone subscriptions (per 100 people),-1.4650581973812487
"School enrollment, tertiary (% gross)",1.1766771799324032
GNI growth (annual %),-1.1413662525687382
"Armed forces personnel, total",1.0778950800032097
GDP per capita growth (annual %),1.044743933844806
"Industry (including construction), value added (% of GDP)",0.8892450820699961
Goods and services expense (% of expense),-0.7657548894649534
Proportion of seats held by women in national parliaments (%),-0.7330869904766812
Gross savings (% of GDP),-0.7130713615249512
"Out-of-pocket expenditure per capita, PPP (current international $)",0.657721275591429
"School enrollment, primary (% gross)",0.6481528175358708
Income share held by lowest 20%,-0.6371372292423113
"Personal remittances, received (current US$)",0.6133780326361032
"Employment to population ratio, 15+, total (%) (national estimate)",-0.5882933143655593
Adjusted net national income per capita (annual % growth),0.5688821523450036
Political Stability and Absence of Violence/Terrorism: Estimate,0.46041045410352127
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",-0.3832727031370401
Gross capital formation (% of GDP),0.36632111191666805
Rule of Law: Estimate,0.35337560113853156
"Unemployment, total (% of total labor force) (national estimate)",0.32545833654799866
"School enrollment, secondary (% gross)",0.31532232411194344
"Current health expenditure per capita, PPP (current international $)",0.2737408355246678
"External health expenditure per capita, PPP (current international $)",0.2558225892272715
CPIA fiscal policy rating (1=low to 6=high),-0.209534761791484
"Government expenditure on education, total (% of GDP)",0.20679879056082395
Employment in agriculture (% of total employment) (modeled ILO estimate),-0.19600048742320328
"Literacy rate, adult male (% of males ages 15 and above)",-0.16582711772094438
"Human capital index (HCI), upper bound (scale 0-1)",-0.14292811599306338
"Net intake rate in grade 1, female (% of official school-age population)",-0.12745147945793636
"Inflation, consumer prices (annual %)",-0.11675120901167396
Population growth (annual %),-0.10748109231635587
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-0.10184539134341822
Public and publicly guaranteed debt service (% of GNI),-0.07866056058375405
Population ages 65 and above (% of total population),-0.0780790177281825
Income share held by highest 10%,0.03432601325532758
