,coefficient
"Population, female (% of total population)",4.638173993127138
"Labor force, female (% of total labor force)",2.6127501404758524
Population ages 15-64 (% of total population),2.1071629418158744
"Current health expenditure per capita, PPP (current international $)",-1.8849680408126692
"Agriculture, forestry, and fishing, value added (current US$)",1.7851070245350524
GDP (current US$),-1.7064147170219202
"GDP per capita, PPP (current international $)",-1.690197870882736
"Industry (including construction), value added (% of GDP)",1.5361997801975131
"Agriculture, forestry, and fishing, value added (% of GDP)",-1.5110892466854386
Population ages 65 and above (% of total population),-1.4880406937552444
Employment in industry (% of total employment) (modeled ILO estimate),1.4384855605757818
Domestic general government health expenditure (% of current health expenditure),-1.4103301730177158
Domestic general government health expenditure (% of GDP),1.4090321666622543
"Compulsory education, duration (years)",1.3833606014843243
Political Stability and Absence of Violence/Terrorism: Estimate,-1.286207038368233
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1.2433701866987463
Domestic credit to private sector (% of GDP),1.1909859178654976
Current health expenditure (% of GDP),1.114036663895215
Population density (people per sq. km of land area),-1.0777607689225186
Urban population (% of total population),-1.0302151556476729
Proportion of seats held by women in national parliaments (%),-1.0212187770793044
"Out-of-pocket expenditure per capita, PPP (current international $)",-1.0131957978249275
"Personal remittances, received (current US$)",0.9298788182624201
Compensation of employees (% of expense),0.8601050717495726
"Services, value added (% of GDP)",0.8494165710704837
"Net bilateral aid flows from DAC donors, Total (current US$)",-0.8160622508585147
Population growth (annual %),-0.7318272145151701
Armed forces personnel (% of total labor force),0.7185745295501759
"Personal remittances, received (% of GDP)",-0.702134142534435
GDP per capita (current US$),-0.6782761853327619
Gross savings (% of GDP),0.6039679300549106
Final consumption expenditure (% of GDP),0.5417037115857856
Goods and services expense (% of expense),0.5194960213820747
Domestic general government health expenditure (% of general government expenditure),-0.5000088338588029
Fixed broadband subscriptions (per 100 people),0.39378784198532696
External health expenditure (% of current health expenditure),-0.38006901113057884
"Manufacturing, value added (% of GDP)",0.344548055433684
CPIA macroeconomic management rating (1=low to 6=high),0.32245744449621067
"Government expenditure on education, total (% of GDP)",-0.3162785561951007
GDP per capita growth (annual %),0.2966508480734178
"School enrollment, tertiary (% gross)",-0.276136868811408
Voice and Accountability: Estimate,-0.2580900978110969
Public and publicly guaranteed debt service (% of GNI),0.22227767147617922
Gross capital formation (% of GDP),-0.1928643878173446
GNI growth (annual %),-0.1759261404818262
"Net intake rate in grade 1, female (% of official school-age population)",0.16695396749249244
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-0.10906502877351654
Adjusted net national income per capita (annual % growth),0.10485474507096068
"School enrollment, primary (% gross)",-0.09177815605715761
Rule of Law: Estimate,-0.08766294642708859
"Labor force, total",0.07525993975796827
Income share held by lowest 20%,-0.03279626806090413
"Human capital index (HCI), upper bound (scale 0-1)",-0.026171179576475016
Access to electricity (% of population),0.020922218862447536
Expense (% of GDP),-0.017026535880512932
"School enrollment, secondary (% gross)",-0.016488530547889842
Individuals using the Internet (% of population),-0.015870216972798994
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.0108819235956852
