,coefficient
"Population, female (% of total population)",3.9275640669743455
"External health expenditure per capita, PPP (current international $)",3.2461750050612386
"Out-of-pocket expenditure per capita, PPP (current international $)",-2.8781837823341454
Domestic general government health expenditure (% of GDP),2.7006005318613906
Rule of Law: Estimate,2.6653716435024273
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2.5989854442692133
Employment in industry (% of total employment) (modeled ILO estimate),2.5592748224273003
Urban population (% of total population),-2.5541429126828183
"Labor force, total",2.220422907222318
External health expenditure (% of current health expenditure),-2.1529503910800263
Current health expenditure (% of GDP),-1.788268907707429
"Agriculture, forestry, and fishing, value added (% of GDP)",-1.596676763078005
GDP per capita (current US$),1.584564862584492
"Industry (including construction), value added (% of GDP)",-1.4925959506006827
Population density (people per sq. km of land area),-1.4866496476648376
Proportion of seats held by women in national parliaments (%),-1.4106621709208977
Voice and Accountability: Estimate,-1.4021670756218365
CPIA fiscal policy rating (1=low to 6=high),-1.300246382193946
Access to electricity (% of population),-1.276758603968123
"Net bilateral aid flows from DAC donors, Total (current US$)",-1.0660309156161276
Domestic credit to private sector (% of GDP),-1.0432669122298441
"Labor force, female (% of total labor force)",1.0251057561500057
"Government expenditure on education, total (% of government expenditure)",0.9740408188313621
"Services, value added (% of GDP)",0.9046104480150429
Political Stability and Absence of Violence/Terrorism: Estimate,-0.8804650774289623
Domestic general government health expenditure (% of general government expenditure),-0.8479538404244292
Final consumption expenditure (% of GDP),-0.7898770912195261
General government final consumption expenditure (% of GDP),0.7861432745416619
Out-of-pocket expenditure (% of current health expenditure),-0.7720659140118528
"School enrollment, tertiary (% gross)",-0.6823390417242989
Population ages 15-64 (% of total population),-0.588554963945561
"School enrollment, secondary (% gross)",0.5759650464917557
"Human capital index (HCI), upper bound (scale 0-1)",-0.5188520711262858
Compensation of employees (% of expense),0.5075159382594738
"Inflation, consumer prices (annual %)",0.5015404711760147
Gross savings (% of GDP),-0.5012191215614494
Gross capital formation (% of GDP),-0.4581496301984264
GDP per capita growth (annual %),-0.4399080362890929
"Personal remittances, received (% of GDP)",0.3297975510813519
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",-0.32194045718005604
Fixed broadband subscriptions (per 100 people),-0.30422196588683786
CPIA macroeconomic management rating (1=low to 6=high),0.28456702078971424
Adjusted net national income per capita (annual % growth),0.2663269573062191
Public and publicly guaranteed debt service (% of GNI),0.23754007917719036
Goods and services expense (% of expense),0.22309540158271576
Armed forces personnel (% of total labor force),-0.16309202643635723
"GDP per capita, PPP (current international $)",-0.1283544177740188
"Literacy rate, adult male (% of males ages 15 and above)",-0.12108068991954801
Individuals using the Internet (% of population),-0.1197788552520934
Income share held by lowest 20%,0.0780541340329108
"Personal remittances, received (current US$)",-0.07553437014806112
Fixed telephone subscriptions (per 100 people),0.07267975795610279
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.07087860753712413
Population growth (annual %),-0.0525736440217268
"Government expenditure on education, total (% of GDP)",0.042182140690048976
GNI growth (annual %),0.025724716180911596
