,coefficient
"School enrollment, secondary (% gross)",-0.34157259994071065
Access to electricity (% of population),-0.3056915717212869
Proportion of seats held by women in national parliaments (%),-0.29194133263804006
"Personal remittances, received (current US$)",-0.20646942229450632
Political Stability and Absence of Violence/Terrorism: Estimate,0.20633326251217216
"School enrollment, primary (% gross)",-0.08174317270981833
"Armed forces personnel, total",-0.05937648687817753
Armed forces personnel (% of total labor force),-0.04942043212494449
Domestic credit to private sector (% of GDP),-0.036218598611037545
"Government expenditure on education, total (% of GDP)",-0.02901653486990306
"Net intake rate in grade 1, female (% of official school-age population)",0.018521579965880806
Income share held by lowest 20%,0.004630093013889672
