,coefficient
"Population, female (% of total population)",5.2006773112151885
"Labor force, female (% of total labor force)",3.537940917287235
Political Stability and Absence of Violence/Terrorism: Estimate,3.445068172324651
Domestic general government health expenditure (% of current health expenditure),3.097658850311061
Income share held by lowest 20%,2.8317542844430954
"Industry (including construction), value added (% of GDP)",-2.5670895544001615
Rule of Law: Estimate,-2.5494502300930955
"Manufacturing, value added (% of GDP)",2.0492140420885985
"GDP per capita, PPP (current international $)",2.0281865325526565
Employment in agriculture (% of total employment) (modeled ILO estimate),-1.9531227772474582
"Current health expenditure per capita, PPP (current international $)",-1.951995908883083
Population growth (annual %),1.7782064702647253
GDP per capita (current US$),-1.622244760177694
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-1.5772014784143356
Final consumption expenditure (% of GDP),-1.5498147337480905
"Personal remittances, received (% of GDP)",-1.514378919871013
CPIA fiscal policy rating (1=low to 6=high),-1.5041823090498039
"Inflation, consumer prices (annual %)",1.4495706600491651
"Domestic private health expenditure per capita, PPP (current international $)",1.3924872785873164
Compensation of employees (% of expense),-1.3630603903266634
"Out-of-pocket expenditure per capita, PPP (current international $)",-1.1358429572898388
Fixed broadband subscriptions (per 100 people),-1.0571184832425187
"External health expenditure per capita, PPP (current international $)",0.9445845538053224
Armed forces personnel (% of total labor force),-0.8853817805894665
"School enrollment, secondary (% gross)",-0.8743414865696046
Current health expenditure (% of GDP),0.8406274450482346
"Unemployment, total (% of total labor force) (national estimate)",-0.8359382568982627
Individuals using the Internet (% of population),-0.8305657270350653
General government final consumption expenditure (% of GDP),0.8220370694975578
"Labor force, total",0.769128250383973
Urban population (% of total population),0.7149137539930076
"Services, value added (% of GDP)",-0.6466664179514308
"Personal remittances, received (current US$)",-0.6269576224372858
Expense (% of GDP),-0.6199878349604377
Fixed telephone subscriptions (per 100 people),0.6114973429249021
"Agriculture, forestry, and fishing, value added (current US$)",-0.49927849030404114
Public and publicly guaranteed debt service (% of GNI),-0.46265770595191424
Voice and Accountability: Estimate,0.4589436390723702
GNI growth (annual %),0.44648074938143306
External health expenditure (% of current health expenditure),-0.44152997698777596
GDP per capita growth (annual %),-0.43285632189500794
Goods and services expense (% of expense),0.4196965563706526
"Compulsory education, duration (years)",-0.39020601157058293
Domestic general government health expenditure (% of general government expenditure),0.3747849117130244
"Government expenditure on education, total (% of government expenditure)",-0.35430385616333443
Gross capital formation (% of GDP),0.34262071680134404
Population ages 15-64 (% of total population),-0.3341164410329225
"Net bilateral aid flows from DAC donors, Total (current US$)",0.29265708576479255
"School enrollment, primary (% gross)",-0.2885360430678964
Domestic credit to private sector (% of GDP),0.2872826557689006
"Net intake rate in grade 1, female (% of official school-age population)",-0.24103193364237013
Proportion of seats held by women in national parliaments (%),-0.15319683558009173
Adjusted net national income per capita (annual % growth),0.1197051070574861
CPIA macroeconomic management rating (1=low to 6=high),-0.0961598653446436
"Literacy rate, adult male (% of males ages 15 and above)",-0.07713333166716294
"School enrollment, tertiary (% gross)",0.07213605504043487
"Government expenditure on education, total (% of GDP)",0.05016383074208859
Employment in industry (% of total employment) (modeled ILO estimate),-0.04102495854423103
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.03820140969315599
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-0.010571373114069691
