,coefficient
"Labor force, female (% of total labor force)",3.5567373122708146
Employment in industry (% of total employment) (modeled ILO estimate),3.5383848204177744
"Population, female (% of total population)",3.0828016661587547
Access to electricity (% of population),-2.8639192559339426
"GDP per capita, PPP (current international $)",2.3264857947013358
"Current health expenditure per capita, PPP (current international $)",-2.242925734893339
"Industry (including construction), value added (% of GDP)",-2.0481978053252985
"Armed forces personnel, total",1.803451963193425
Individuals using the Internet (% of population),-1.7005631842792555
"Agriculture, forestry, and fishing, value added (current US$)",-1.6584285641272813
Gross savings (% of GDP),-1.5404574539827898
"School enrollment, tertiary (% gross)",1.5201410007775478
"Manufacturing, value added (% of GDP)",1.4461539026526042
Domestic general government health expenditure (% of current health expenditure),1.4388799889878958
"Domestic private health expenditure per capita, PPP (current international $)",1.3576524274494914
"Services, value added (% of GDP)",-1.3007142481905474
"Government expenditure on education, total (% of GDP)",1.2955498739258846
Income share held by lowest 20%,1.272883261290292
"Agriculture, forestry, and fishing, value added (% of GDP)",-1.2106198012767275
"External health expenditure per capita, PPP (current international $)",1.110747820855896
Out-of-pocket expenditure (% of current health expenditure),-1.1037564350042086
General government final consumption expenditure (% of GDP),1.0382436091601934
Gross savings (% of GNI),1.0262498024867175
Expense (% of GDP),-0.9728572458586193
CPIA fiscal policy rating (1=low to 6=high),-0.9116205258864257
"Compulsory education, duration (years)",-0.8669017612330508
GDP (current US$),0.7735064317020177
Population density (people per sq. km of land area),-0.7683187484907498
Goods and services expense (% of expense),0.7057318121844047
Population ages 65 and above (% of total population),-0.6494215842278255
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.6357700701156361
Domestic credit to private sector (% of GDP),-0.6313938093654211
Voice and Accountability: Estimate,-0.6035392227661727
"School enrollment, primary (% gross)",-0.5744241683526915
Compensation of employees (% of expense),-0.5305940823777663
GDP per capita (current US$),-0.5246980167616633
"Out-of-pocket expenditure per capita, PPP (current international $)",-0.5231043907792057
Current health expenditure (% of GDP),-0.46182986371675244
Population growth (annual %),-0.4157673637921509
"Net bilateral aid flows from DAC donors, Total (current US$)",-0.375706911458928
"Labor force, total",-0.37538811102184055
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.34991242442540377
Fixed telephone subscriptions (per 100 people),-0.3313033607074575
"Human capital index (HCI), upper bound (scale 0-1)",-0.32896159766922295
Urban population (% of total population),0.3274197771048228
"Personal remittances, received (current US$)",0.29711982051991936
"Inflation, consumer prices (annual %)",0.28531428082391935
Public and publicly guaranteed debt service (% of GNI),-0.24947067853898786
Political Stability and Absence of Violence/Terrorism: Estimate,0.19719869074655164
"Net intake rate in grade 1, female (% of official school-age population)",-0.19068987448103014
"Personal remittances, received (% of GDP)",-0.18152186918322036
Final consumption expenditure (% of GDP),-0.1699724734842391
"Unemployment, total (% of total labor force) (national estimate)",-0.15304577205088607
GDP per capita growth (annual %),0.14778254904584234
Domestic general government health expenditure (% of GDP),0.11230069965331035
"Employment to population ratio, 15+, total (%) (national estimate)",-0.09915342016594424
Adjusted net national income per capita (annual % growth),0.0959086947243665
Armed forces personnel (% of total labor force),0.06439125964075268
CPIA macroeconomic management rating (1=low to 6=high),-0.06404737436451134
Rule of Law: Estimate,0.06072386857218545
"Government expenditure on education, total (% of government expenditure)",0.033783841859069644
"School enrollment, secondary (% gross)",-0.02139263005855889
GNI growth (annual %),-0.020054340715829667
Income share held by highest 10%,-0.016288544166614478
Domestic general government health expenditure (% of general government expenditure),-0.0005055950143137871
