,coefficient
"Current health expenditure per capita, PPP (current international $)",-10.569111467494094
Urban population (% of total population),7.422950425565257
"Agriculture, forestry, and fishing, value added (current US$)",-6.511031871437508
"Out-of-pocket expenditure per capita, PPP (current international $)",5.524086547898616
Domestic general government health expenditure (% of current health expenditure),4.420357000980609
"Industry (including construction), value added (% of GDP)",-4.367640486289907
Access to electricity (% of population),4.17601761688123
Proportion of seats held by women in national parliaments (%),-4.124816890463871
External health expenditure (% of current health expenditure),3.747076558163689
Current health expenditure (% of GDP),3.4696611283648027
Population density (people per sq. km of land area),-3.104191157079309
GDP (current US$),3.0727056389142957
"Labor force, female (% of total labor force)",2.914864094338729
Out-of-pocket expenditure (% of current health expenditure),2.702280997954493
Employment in industry (% of total employment) (modeled ILO estimate),-2.6309722913515965
Individuals using the Internet (% of population),-2.564838724244749
Final consumption expenditure (% of GDP),-2.5145873039772146
Fixed broadband subscriptions (per 100 people),2.371297275145448
Political Stability and Absence of Violence/Terrorism: Estimate,2.3624560848331417
"Labor force, total",2.2644659203745348
Population ages 65 and above (% of total population),-2.1947654786468984
Fixed telephone subscriptions (per 100 people),-1.8826273677300063
"School enrollment, tertiary (% gross)",1.6954898964359666
"Government expenditure on education, total (% of GDP)",1.6056012297505429
Domestic general government health expenditure (% of general government expenditure),1.549108015061339
General government final consumption expenditure (% of GDP),1.518643603093377
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1.4858339949471373
"Manufacturing, value added (% of GDP)",1.323859292437004
Gross savings (% of GDP),-1.1931893382490302
"Armed forces personnel, total",1.082791476789109
Domestic credit to private sector (% of GDP),0.9376625228485054
GDP per capita growth (annual %),-0.9200121905062348
"Personal remittances, received (% of GDP)",-0.8790498033821522
"Personal remittances, received (current US$)",0.870202141796318
Expense (% of GDP),-0.757178829680789
"Agriculture, forestry, and fishing, value added (% of GDP)",0.666822594213028
Population growth (annual %),-0.6283735525503694
Gross capital formation (% of GDP),0.6150245938460748
"School enrollment, primary (% gross)",0.6148725141260489
Armed forces personnel (% of total labor force),0.5930411139993242
Employment in agriculture (% of total employment) (modeled ILO estimate),0.5878404732374374
Compensation of employees (% of expense),-0.5809018352391266
CPIA macroeconomic management rating (1=low to 6=high),0.5730540306454828
Voice and Accountability: Estimate,0.5004412683429292
"Employment to population ratio, 15+, total (%) (national estimate)",-0.4153348343145629
"Inflation, consumer prices (annual %)",0.4025394819174244
"Government expenditure on education, total (% of government expenditure)",-0.39341580812846794
CPIA fiscal policy rating (1=low to 6=high),-0.3852040720535807
GNI growth (annual %),0.36779187216671944
"Unemployment, total (% of total labor force) (national estimate)",0.3666115207134795
Rule of Law: Estimate,0.3288028375548774
"Compulsory education, duration (years)",0.22808237973564174
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.19629391183080963
"External health expenditure per capita, PPP (current international $)",-0.1831304049152682
"Net intake rate in grade 1, female (% of official school-age population)",-0.17127743758393982
Income share held by highest 10%,-0.1656494969296863
Domestic general government health expenditure (% of GDP),0.15572437811276518
Adjusted net national income per capita (annual % growth),0.10018544595990496
"School enrollment, secondary (% gross)",-0.09300223195619638
"Net bilateral aid flows from DAC donors, Total (current US$)",0.05044903878953634
"Services, value added (% of GDP)",0.0470058508028353
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.034080341638087146
"Literacy rate, adult male (% of males ages 15 and above)",0.029027822901457785
"Human capital index (HCI), upper bound (scale 0-1)",0.024604326962243434
Goods and services expense (% of expense),0.018433442754606223
Public and publicly guaranteed debt service (% of GNI),0.0031806001274694426
Income share held by lowest 20%,0.0029450467604275046
"Population, female (% of total population)",0.0026692753486423854
