,coefficient
Out-of-pocket expenditure (% of current health expenditure),-8.960084965481704
Population ages 65 and above (% of total population),-6.720971929517801
"Population, female (% of total population)",6.225975950117033
Individuals using the Internet (% of population),-6.17510845644367
Employment in agriculture (% of total employment) (modeled ILO estimate),-5.7491046048746055
"GDP per capita, PPP (current international $)",-4.825747221545874
"Labor force, total",3.79293478736832
"Current health expenditure per capita, PPP (current international $)",3.7610469118958108
"Agriculture, forestry, and fishing, value added (current US$)",-3.691453136921965
"Out-of-pocket expenditure per capita, PPP (current international $)",3.104758341362231
Political Stability and Absence of Violence/Terrorism: Estimate,3.008534900141807
"Labor force, female (% of total labor force)",2.857092727462856
"Industry (including construction), value added (% of GDP)",-2.578298667448872
Population density (people per sq. km of land area),-2.4124354304631126
Rule of Law: Estimate,-2.384551066186915
"Employment to population ratio, 15+, total (%) (national estimate)",-2.3297131782655622
"Domestic private health expenditure per capita, PPP (current international $)",-2.2871904507893657
"Manufacturing, value added (% of GDP)",2.172911474479778
Fixed telephone subscriptions (per 100 people),-2.131845339038738
External health expenditure (% of current health expenditure),-1.9761429346841062
"Government expenditure on education, total (% of government expenditure)",1.9696195970984947
"School enrollment, tertiary (% gross)",1.648505247420156
"Armed forces personnel, total",1.6341345859324725
Domestic general government health expenditure (% of general government expenditure),-1.575525646041202
Employment in industry (% of total employment) (modeled ILO estimate),-1.5377201841047925
Domestic general government health expenditure (% of current health expenditure),-1.4770388880628524
General government final consumption expenditure (% of GDP),1.3480587176501908
"Personal remittances, received (current US$)",1.3313866095044944
Gross savings (% of GNI),1.3079757190481995
Fixed broadband subscriptions (per 100 people),1.2848301900518841
Income share held by lowest 20%,-1.2069325497510655
Domestic general government health expenditure (% of GDP),-1.1740141792392222
Income share held by highest 10%,-1.132382746284846
Gross capital formation (% of GDP),-1.1221606765032115
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1.0964699567070018
Compensation of employees (% of expense),-1.095809943405354
Population ages 15-64 (% of total population),1.090554297383677
Domestic credit to private sector (% of GDP),-1.076683281194755
Armed forces personnel (% of total labor force),-1.0116455602836405
"Unemployment, total (% of total labor force) (national estimate)",-0.9915654664111595
Goods and services expense (% of expense),0.9363150156516211
"Personal remittances, received (% of GDP)",0.9062662949563276
Expense (% of GDP),-0.846580994818016
Population growth (annual %),-0.8363630837596459
Final consumption expenditure (% of GDP),-0.8163840494397487
GDP per capita (current US$),0.7208028743789681
"External health expenditure per capita, PPP (current international $)",0.7195058969999021
Urban population (% of total population),0.6735391833477777
CPIA fiscal policy rating (1=low to 6=high),-0.6290385778173647
GDP (current US$),-0.5771754307469574
Adjusted net national income per capita (annual % growth),0.5727081266447502
CPIA macroeconomic management rating (1=low to 6=high),-0.5491813701057536
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.5407633640725761
"Services, value added (% of GDP)",-0.5230182052014655
"Net bilateral aid flows from DAC donors, Total (current US$)",0.49704537372741436
GNI growth (annual %),-0.4560802007408113
"School enrollment, secondary (% gross)",0.44289704178373446
Public and publicly guaranteed debt service (% of GNI),-0.42492154457996373
Access to electricity (% of population),-0.3416242237770993
"Agriculture, forestry, and fishing, value added (% of GDP)",0.31792026596461415
"Government expenditure on education, total (% of GDP)",0.2821873742237193
Voice and Accountability: Estimate,-0.2652244703325766
"Literacy rate, adult male (% of males ages 15 and above)",0.26203949628302003
"Inflation, consumer prices (annual %)",0.2207309803227328
"Compulsory education, duration (years)",0.19645732060199958
Proportion of seats held by women in national parliaments (%),0.17882813952921858
"Human capital index (HCI), upper bound (scale 0-1)",-0.12129634303436446
"Net intake rate in grade 1, female (% of official school-age population)",0.06638717298035274
"School enrollment, primary (% gross)",0.05806825680177553
GDP per capita growth (annual %),-0.05021475667621072
