,coefficient
"Agriculture, forestry, and fishing, value added (% of GDP)",8.39907126160807
Employment in agriculture (% of total employment) (modeled ILO estimate),-5.274320273336879
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-4.308469196424053
"Current health expenditure per capita, PPP (current international $)",3.288873685185497
GDP per capita (current US$),-3.227874556843346
"Industry (including construction), value added (% of GDP)",3.203658015120972
"Labor force, female (% of total labor force)",3.1870352367434163
Domestic general government health expenditure (% of current health expenditure),-2.8777004914613125
General government final consumption expenditure (% of GDP),2.79390586295764
Population density (people per sq. km of land area),-2.5680811941689203
"Services, value added (% of GDP)",2.39553078012858
Employment in industry (% of total employment) (modeled ILO estimate),2.3243725783260736
GDP (current US$),2.2197211005744792
"Personal remittances, received (% of GDP)",-2.1329179136088325
"Labor force, total",-2.119583928268435
Population ages 0-14 (% of total population),1.9188688888464491
"Out-of-pocket expenditure per capita, PPP (current international $)",-1.7312416711785636
Domestic general government health expenditure (% of general government expenditure),1.6459186766061389
Voice and Accountability: Estimate,1.622705540717173
Final consumption expenditure (% of GDP),1.5318784815827988
Fixed broadband subscriptions (per 100 people),1.5161209354707081
"Agriculture, forestry, and fishing, value added (current US$)",-1.467380682903279
"Unemployment, total (% of total labor force) (national estimate)",-1.368377547676736
Gross savings (% of GDP),1.3171016251595493
"School enrollment, primary (% gross)",-1.2914850489089533
Goods and services expense (% of expense),1.2718033078431819
Current health expenditure (% of GDP),-1.251720220549374
"School enrollment, secondary (% gross)",-0.9806797484740247
Armed forces personnel (% of total labor force),0.9096566003909479
Expense (% of GDP),0.9089048692011751
Compensation of employees (% of expense),-0.8829535696781596
"Population, female (% of total population)",0.7568461239123992
Gross capital formation (% of GDP),-0.7484523456638611
External health expenditure (% of current health expenditure),-0.6464793553520717
Public and publicly guaranteed debt service (% of GNI),-0.6422719472006132
"School enrollment, tertiary (% gross)",-0.6335813434077019
CPIA macroeconomic management rating (1=low to 6=high),-0.5416534096458014
Proportion of seats held by women in national parliaments (%),-0.5400229340910591
CPIA fiscal policy rating (1=low to 6=high),0.5368907561767825
"External health expenditure per capita, PPP (current international $)",0.5060188673081755
Access to electricity (% of population),-0.49936207770010277
"Personal remittances, received (current US$)",0.4951273157444716
Political Stability and Absence of Violence/Terrorism: Estimate,-0.44480796396823563
Income share held by lowest 20%,0.4377235731997521
GDP per capita growth (annual %),0.41926986340337674
"Net intake rate in grade 1, female (% of official school-age population)",0.4062148943089764
"Employment to population ratio, 15+, total (%) (national estimate)",0.3637519744450925
Rule of Law: Estimate,0.34205837362897773
"Net bilateral aid flows from DAC donors, Total (current US$)",-0.3232016868918636
"GDP per capita, PPP (current international $)",-0.3162027549325669
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",-0.2993524599759754
"Inflation, consumer prices (annual %)",-0.2978590959208013
"Compulsory education, duration (years)",-0.25294840361908694
Individuals using the Internet (% of population),-0.20170199052370028
"Government expenditure on education, total (% of GDP)",-0.18017139915473912
Urban population (% of total population),-0.17194453162167772
Domestic credit to private sector (% of GDP),-0.14125954302526234
"Manufacturing, value added (% of GDP)",-0.14019027850042237
"Armed forces personnel, total",-0.11567977652015235
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.10146799693180515
GNI growth (annual %),-0.08426887145723937
"Human capital index (HCI), upper bound (scale 0-1)",-0.06361006954132287
Population growth (annual %),0.031658546352581175
"Literacy rate, adult male (% of males ages 15 and above)",0.02398236972100898
