,coefficient
Final consumption expenditure (% of GDP),-2.882082291356352
"Population, female (% of total population)",-2.6025839787593386
Access to electricity (% of population),-1.5318358009628674
Population ages 15-64 (% of total population),-1.5219513664412914
Fixed telephone subscriptions (per 100 people),1.071344277957302
CPIA fiscal policy rating (1=low to 6=high),-1.03939962327447
Rule of Law: Estimate,-0.9950912894263826
Population ages 65 and above (% of total population),0.9784370202666967
Current health expenditure (% of GDP),-0.8428261936534415
Population density (people per sq. km of land area),0.7858443649501977
Urban population (% of total population),0.7781362118517136
Employment in industry (% of total employment) (modeled ILO estimate),0.7551908613430272
Out-of-pocket expenditure (% of current health expenditure),0.7357479518903963
Individuals using the Internet (% of population),-0.7194838365047246
Voice and Accountability: Estimate,0.6827118367780335
External health expenditure (% of current health expenditure),0.6380215908271819
Gross savings (% of GDP),-0.5984049416315499
"Labor force, female (% of total labor force)",0.5855386918677118
Proportion of seats held by women in national parliaments (%),0.5537023409580648
General government final consumption expenditure (% of GDP),0.5443325396649292
Domestic credit to private sector (% of GDP),0.5299569814463984
"Agriculture, forestry, and fishing, value added (% of GDP)",-0.49991728977106664
"Agriculture, forestry, and fishing, value added (current US$)",0.48812170137630967
"Industry (including construction), value added (% of GDP)",-0.4483865749362192
Armed forces personnel (% of total labor force),0.4470034895013536
"Manufacturing, value added (% of GDP)",0.4460940085869372
"School enrollment, primary (% gross)",-0.42590882422829934
Compensation of employees (% of expense),0.4211491137260694
"External health expenditure per capita, PPP (current international $)",-0.41092313136440656
Political Stability and Absence of Violence/Terrorism: Estimate,-0.4030792070091627
"Out-of-pocket expenditure per capita, PPP (current international $)",-0.36912905097074655
"Personal remittances, received (current US$)",0.31123536869669066
Gross capital formation (% of GDP),-0.30627020182980885
"Unemployment, total (% of total labor force) (national estimate)",0.297866249741576
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.27574417190447853
GDP (current US$),-0.25914598906562775
Domestic general government health expenditure (% of general government expenditure),0.2380103422668219
Income share held by lowest 20%,-0.22984443067414984
"Net intake rate in grade 1, female (% of official school-age population)",0.2283052951363478
"Net bilateral aid flows from DAC donors, Total (current US$)",0.20536499166819422
"Government expenditure on education, total (% of government expenditure)",0.18505018434889403
"Domestic private health expenditure per capita, PPP (current international $)",-0.18392529803962127
Public and publicly guaranteed debt service (% of GNI),-0.17658768804498376
Fixed broadband subscriptions (per 100 people),-0.1745448230637306
"Armed forces personnel, total",-0.13969996460659234
Goods and services expense (% of expense),-0.13318680479306969
"School enrollment, secondary (% gross)",0.11956361997376994
Income share held by highest 10%,-0.10561072554990233
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",-0.10286776330672523
"Services, value added (% of GDP)",0.07781303590913276
"Employment to population ratio, 15+, total (%) (national estimate)",0.07752638421775303
Adjusted net national income per capita (annual % growth),-0.07354598439424267
CPIA macroeconomic management rating (1=low to 6=high),0.0713578186245187
Population growth (annual %),0.07102923643443604
"Literacy rate, adult male (% of males ages 15 and above)",-0.06986656293165255
"Government expenditure on education, total (% of GDP)",-0.0698377029164473
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-0.06507108495340178
"Human capital index (HCI), upper bound (scale 0-1)",-0.06473312218273425
"School enrollment, tertiary (% gross)",0.054805289406315294
"Inflation, consumer prices (annual %)",-0.0325926151307261
GNI growth (annual %),-0.032095097759383455
Expense (% of GDP),-0.02593066073823089
"Compulsory education, duration (years)",-0.01585752359709986
