,coefficient
Out-of-pocket expenditure (% of current health expenditure),-1.2580540782041714
"Agriculture, forestry, and fishing, value added (% of GDP)",-0.8414355100991919
"Population, female (% of total population)",-0.8260834102908785
"Industry (including construction), value added (% of GDP)",0.5882808595077615
Gross capital formation (% of GDP),-0.5748125056956469
Adjusted net national income per capita (annual % growth),-0.5714097970034259
GDP per capita growth (annual %),0.5253550551439616
"Armed forces personnel, total",-0.5174487559103025
Domestic credit to private sector (% of GDP),-0.4793625616683359
Individuals using the Internet (% of population),-0.47232217545866395
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-0.4474362147716251
"Unemployment, total (% of total labor force) (national estimate)",-0.27595413590788326
Gross savings (% of GDP),0.26933169135617113
Expense (% of GDP),0.24885915640284795
"Human capital index (HCI), upper bound (scale 0-1)",0.19726861888116654
"School enrollment, primary (% gross)",0.1857037830088874
Population growth (annual %),-0.1073833171160988
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.09856244587596216
"Net intake rate in grade 1, female (% of official school-age population)",-0.09056739877502809
"Government expenditure on education, total (% of government expenditure)",-0.08349801481303586
Goods and services expense (% of expense),-0.08251103475718483
Employment in agriculture (% of total employment) (modeled ILO estimate),-0.07549948031904084
Political Stability and Absence of Violence/Terrorism: Estimate,-0.04108631789874199
Rule of Law: Estimate,0.03376553929732687
"School enrollment, tertiary (% gross)",-0.0103604596427514
