,coefficient
Population ages 15-64 (% of total population),13.671594847414195
Population density (people per sq. km of land area),-10.765465026715386
Employment in agriculture (% of total employment) (modeled ILO estimate),-7.814541409628369
Urban population (% of total population),-5.52489121263184
"GDP per capita, PPP (current international $)",-5.25077552557275
"Agriculture, forestry, and fishing, value added (% of GDP)",4.990957259986539
"Manufacturing, value added (% of GDP)",3.8673332435987855
General government final consumption expenditure (% of GDP),-3.6899902474008477
Population ages 65 and above (% of total population),-3.3232834456461076
"Labor force, female (% of total labor force)",1.91069118173956
Employment in industry (% of total employment) (modeled ILO estimate),1.8916688123252063
External health expenditure (% of current health expenditure),-1.7163126086995104
Fixed broadband subscriptions (per 100 people),1.3989630820270627
Domestic general government health expenditure (% of general government expenditure),1.3822154184707591
Access to electricity (% of population),-1.225635112613059
Goods and services expense (% of expense),1.1909829369136864
"Personal remittances, received (current US$)",-1.157926385856653
Proportion of seats held by women in national parliaments (%),1.0874257600088002
"Services, value added (% of GDP)",1.0543141506113678
Final consumption expenditure (% of GDP),-1.035373298980839
Individuals using the Internet (% of population),-0.9458698869092809
Public and publicly guaranteed debt service (% of GNI),0.8854247110099053
Voice and Accountability: Estimate,-0.8006994941571645
Population growth (annual %),0.7606681416605352
GDP per capita growth (annual %),0.7270810306709301
Domestic credit to private sector (% of GDP),-0.6807672963106669
Rule of Law: Estimate,0.6791566717393503
Armed forces personnel (% of total labor force),-0.6201935306160106
Compensation of employees (% of expense),-0.6106429794635301
"Government expenditure on education, total (% of government expenditure)",0.6036997987284733
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",-0.5964893745087365
"School enrollment, secondary (% gross)",-0.5902314791871811
CPIA fiscal policy rating (1=low to 6=high),0.5838926032092887
Current health expenditure (% of GDP),0.5772999652002597
Gross savings (% of GDP),-0.5200186165981845
"Compulsory education, duration (years)",0.5059556044348398
"Domestic private health expenditure per capita, PPP (current international $)",-0.4657750670923888
Gross capital formation (% of GDP),-0.41413361369353413
"Government expenditure on education, total (% of GDP)",0.3909988495457684
Domestic general government health expenditure (% of GDP),0.3838805203660063
"School enrollment, primary (% gross)",0.3756086322056614
"External health expenditure per capita, PPP (current international $)",-0.3698799719032858
CPIA macroeconomic management rating (1=low to 6=high),0.36958180747483
"School enrollment, tertiary (% gross)",0.34891359350544604
Expense (% of GDP),0.3262537013116465
"Net intake rate in grade 1, female (% of official school-age population)",0.309712730230107
Income share held by highest 10%,-0.3003691491341113
"Armed forces personnel, total",0.26213193415164193
"Labor force, total",0.2155279725403532
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.19700552296304255
"Unemployment, total (% of total labor force) (national estimate)",0.15915152279669745
GNI growth (annual %),-0.15631357335020354
"Human capital index (HCI), upper bound (scale 0-1)",-0.1291498179759466
"Inflation, consumer prices (annual %)",0.08141772756608154
"Employment to population ratio, 15+, total (%) (national estimate)",-0.07016310775754166
Adjusted net national income per capita (annual % growth),-0.06717054327715734
Income share held by lowest 20%,-0.03055110339994395
Political Stability and Absence of Violence/Terrorism: Estimate,0.006308676426302608
