,coefficient
"Population, female (% of total population)",3.129450683542612
Domestic general government health expenditure (% of GDP),2.861733784819999
Voice and Accountability: Estimate,-2.787032909909319
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2.6440783566509323
"Agriculture, forestry, and fishing, value added (% of GDP)",-1.9931083505008542
"GDP per capita, PPP (current international $)",1.8675248898914696
"Manufacturing, value added (% of GDP)",1.7500714973161975
Domestic general government health expenditure (% of general government expenditure),-1.7221070737557997
Final consumption expenditure (% of GDP),1.695663323531379
GDP (current US$),1.5779220350348326
Compensation of employees (% of expense),1.3996828367927596
"Current health expenditure per capita, PPP (current international $)",-1.3731573681563203
Urban population (% of total population),-1.2788532902081409
Employment in industry (% of total employment) (modeled ILO estimate),1.2281183634502206
Population density (people per sq. km of land area),-1.1818594209419881
"Compulsory education, duration (years)",1.153108233543849
Gross savings (% of GNI),1.1518914113702137
CPIA macroeconomic management rating (1=low to 6=high),1.1377828275567683
"Labor force, total",-1.129817143050075
"Domestic private health expenditure per capita, PPP (current international $)",-1.008475453536433
"Labor force, female (% of total labor force)",0.8940193501868354
Population ages 15-64 (% of total population),0.8698433542536416
"Out-of-pocket expenditure per capita, PPP (current international $)",-0.842149087049398
Access to electricity (% of population),0.832911236377101
Population growth (annual %),-0.8171146795875133
"Agriculture, forestry, and fishing, value added (current US$)",-0.8080294362592333
Employment in agriculture (% of total employment) (modeled ILO estimate),0.7280153491282083
"Net intake rate in grade 1, female (% of official school-age population)",0.6871416499790365
Fixed broadband subscriptions (per 100 people),0.6747802650432049
"Government expenditure on education, total (% of GDP)",-0.6708241680982748
"Government expenditure on education, total (% of government expenditure)",0.6382216807151525
Proportion of seats held by women in national parliaments (%),-0.5862938147386285
Gross capital formation (% of GDP),-0.5630202349416578
"External health expenditure per capita, PPP (current international $)",0.4862589452451197
"School enrollment, secondary (% gross)",0.41603352878683597
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.41533314158727286
Goods and services expense (% of expense),0.40981070724285495
General government final consumption expenditure (% of GDP),0.40091395211602454
Fixed telephone subscriptions (per 100 people),-0.39718171303517785
Domestic credit to private sector (% of GDP),0.3695147742078309
"Services, value added (% of GDP)",0.3569298728082465
Public and publicly guaranteed debt service (% of GNI),0.29934809130516593
CPIA fiscal policy rating (1=low to 6=high),-0.29856080026268506
GDP per capita growth (annual %),0.29036591198167544
Income share held by lowest 20%,-0.25630762381474026
"Employment to population ratio, 15+, total (%) (national estimate)",-0.22850332329874912
"Net bilateral aid flows from DAC donors, Total (current US$)",-0.19893992410353295
Adjusted net national income per capita (annual % growth),0.19458252296585105
"Industry (including construction), value added (% of GDP)",0.18657952698514693
"School enrollment, primary (% gross)",-0.17697029308881052
"Human capital index (HCI), upper bound (scale 0-1)",-0.16265020528760749
GNI growth (annual %),-0.1556172558353448
"Armed forces personnel, total",0.1468200182756254
Domestic general government health expenditure (% of current health expenditure),-0.073328792459068
Population ages 65 and above (% of total population),-0.07074807200420177
Out-of-pocket expenditure (% of current health expenditure),0.06691105253189324
Individuals using the Internet (% of population),0.06324060536557834
Rule of Law: Estimate,0.04602091375568293
"Literacy rate, adult male (% of males ages 15 and above)",-0.023190477361561244
Current health expenditure (% of GDP),0.012260393243285256
"Inflation, consumer prices (annual %)",-0.009739802802881564
